week,actors,cumulative
197,"[{'name': '@nytimes', 'frequency': 3}]",3
198,"[{'name': '@nytimes', 'frequency': 4}, {'name': '@MSNBC', 'frequency': 1}, {'name': '@NBCNews', 'frequency': 2}]",7
199,"[{'name': '@nytimes', 'frequency': 1}]",1
200,"[{'name': '@nytimes', 'frequency': 1}]",1
201,[],0
202,"[{'name': '@NBCNews', 'frequency': 1}]",1
203,[],0
204,"[{'name': '@nytimes', 'frequency': 3}, {'name': '@NBCNews', 'frequency': 1}]",4
205,[],0
206,[],0
207,"[{'name': '@nytimes', 'frequency': 1}]",1
208,[],0
209,[],0
210,[],0
211,[],0
212,[],0
213,[],0
214,[],0
215,[],0
216,[],0
217,"[{'name': '@nytimes', 'frequency': 2}]",2
218,[],0
219,"[{'name': '@WashTimes', 'frequency': 1}]",1
220,[],0
221,"[{'name': '@nytimes', 'frequency': 1}]",1
222,[],0
223,"[{'name': '@nytimes', 'frequency': 1}]",1
224,[],0
225,[],0
226,[],0
227,[],0
228,[],0
229,[],0
230,"[{'name': '@nytimes', 'frequency': 1}]",1
231,"[{'name': '@NBCNews', 'frequency': 3}]",3
232,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@NBCNews', 'frequency': 2}]",3
233,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@NBCNews', 'frequency': 1}]",2
234,[],0
235,[],0
236,[],0
237,"[{'name': '@nytimes', 'frequency': 2}]",2
238,"[{'name': '@WSJ', 'frequency': 1}]",1
239,"[{'name': '@nytimes', 'frequency': 2}]",2
240,[],0
241,"[{'name': '@nytimes', 'frequency': 1}]",1
242,[],0
243,"[{'name': '@WSJ', 'frequency': 1}]",1
244,[],0
245,[],0
246,[],0
247,[],0
248,[],0
249,"[{'name': '@nytimes', 'frequency': 1}]",1
250,[],0
251,"[{'name': '@MSNBC', 'frequency': 2}, {'name': '@MittRomney', 'frequency': 1}]",3
252,[],0
253,[],0
254,[],0
255,[],0
256,[],0
257,[],0
258,[],0
259,[],0
260,[],0
261,[],0
262,[],0
263,[],0
264,"[{'name': '@nytimes', 'frequency': 3}]",3
265,"[{'name': '@nytimes', 'frequency': 2}]",2
