,aggregated_sentiment_per_day
178,0.0
179,-0.021428571428571463
180,0.0
181,-0.8
182,-0.6827272727272727
183,-0.3878787878787879
184,-1.1948412698412698
185,0.0
186,-0.3763888888888889
187,0.0
188,-0.3547619047619047
189,0.0
190,-1.087020202020202
191,-0.8603174603174604
192,-0.175
193,-0.09318181818181821
194,-0.16666666666666666
195,-0.185
196,-1.2666666666666666
197,-1.2777777777777777
198,-0.19999999999999998
199,-0.6911075036075036
200,-0.36214285714285716
201,-0.09312169312169313
202,-0.8333333333333333
203,-0.6227272727272727
204,-0.5389285714285714
205,0.0
206,-0.25
207,-1.1245454545454547
208,0.0
209,-1.4966666666666666
210,-0.3670454545454545
211,-1.2529761904761902
212,-1.7166666666666666
213,-0.4166666666666667
214,-0.08333333333333333
215,0.0
216,-0.6999999999999998
217,-1.691517857142857
218,-1.2799999999999996
219,-0.35716911764705883
220,0.0
221,0.0
222,-0.31180555555555556
223,0.0
224,-2.0166666666666666
225,-0.3409090909090909
226,-0.9903138528138528
227,-1.0847222222222221
228,-0.1
229,-0.6999999999999998
230,-0.125
231,-0.3
232,0.0
233,-0.36722222222222217
234,-0.48999999999999994
235,0.0
236,0.0
237,-0.6855555555555556
238,0.0
239,0.0
240,-1.0395238095238097
241,-0.075
242,0.0
243,0.0
244,-0.44999999999999996
245,-0.06666666666666661
246,-1.15
247,-0.2
248,0.0
249,-0.175
250,-1.1
251,-0.30643939393939396
252,-0.05
253,-0.6595238095238094
254,-1.087878787878788
255,0.0
256,-0.012727272727272743
257,0.0
258,-0.19077380952380957
259,0.0
260,-0.2
261,0.0
262,0.0
263,0.0
264,-0.15625
265,-0.15000000000000002
266,-0.1875
267,-0.5375000000000001
268,-1.5916666666666668
269,-0.35000000000000003
270,0.0
271,0.0
272,-1.786111111111111
273,-0.25
274,-0.31121031746031746
275,-0.34375
276,0.0
277,-0.06
278,0.0
279,-0.025
280,0.0
281,0.0
282,-1.12
283,-0.15555555555555559
284,-0.65
285,-0.4463636363636363
286,-0.26249999999999996
287,0.0
288,-2.9625
289,-0.21999999999999992
290,-0.75
291,0.0
292,0.0
293,-0.6770833333333334
294,-0.22142857142857145
295,-0.9159090909090908
296,-0.08333333333333333
297,-0.616111111111111
298,0.0
299,0.0
300,-6.577648809523809
301,-0.4465617715617716
302,0.0
303,0.0
304,-0.05357142857142857
305,-0.05
306,0.0
307,-0.42500000000000004
308,-0.4
309,-0.5125000000000001
310,-0.9791666666666666
311,-0.048353174603174676
312,-0.09195075757575759
313,0.0
314,0.0
315,-0.1
316,-0.04381313131313136
317,-0.57
318,-0.9333333333333332
319,-0.4079166666666667
320,0.0
321,-0.15555555555555559
322,0.0
323,-1.359292328042328
324,-1.3917658730158728
325,-0.38333333333333336
326,-0.35833333333333334
327,-0.09999999999999998
328,-1.7291666666666667
329,-0.17250000000000004
330,0.0
331,-0.02499999999999994
332,0.0
333,-1.9055555555555557
334,-0.2
335,-0.4000000000000001
336,0.0
337,-0.5
338,-1.8666666666666665
339,-0.9261904761904762
340,0.0
341,0.0
342,-0.20714285714285716
343,-1.7933333333333332
344,-0.15555555555555556
345,-0.6583333333333334
346,-1.1724999999999999
347,-0.5416666666666667
348,-1.7166666666666668
349,-0.6000000000000001
350,-1.1945502645502646
351,-0.39555555555555555
352,-0.8
353,-1.0125
354,0.0
355,0.0
356,-0.55
357,-0.7261904761904763
358,-1.0951388888888887
359,0.0
360,-1.6791666666666667
361,-1.7479166666666668
362,-1.3624999999999998
363,-0.65625
364,0.0
365,-0.65
366,-0.8486111111111112
367,-0.125
368,-0.6333333333333333
369,0.0
370,0.0
371,-0.33749999999999997
372,0.0
373,-0.1
374,-0.005555555555555573
375,-0.03492063492063495
376,-0.3333333333333333
377,-0.2
378,-0.05833333333333335
