week,actors,cumulative
21,"[{'name': '@FoxNews', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 30}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@FoxNewsSunday', 'frequency': 1}, {'name': '@piersmorgan', 'frequency': 1}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 3}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@AP', 'frequency': 1}, {'name': '@Macys', 'frequency': 2}, {'name': '@BarbaraJWalters', 'frequency': 1}, {'name': '@pennjillette', 'frequency': 1}, {'name': '@ApprenticeNBC', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@TrumpGolfDC', 'frequency': 1}, {'name': '@VinceMcMahon', 'frequency': 1}, {'name': '@Yankees', 'frequency': 1}, {'name': '@maathewdavis', 'frequency': 1}, {'name': '@fundanything', 'frequency': 2}]",53
22,"[{'name': '@FoxNews', 'frequency': 2}, {'name': '@marklevinshow', 'frequency': 1}, {'name': '@GOP', 'frequency': 2}, {'name': '@realDonaldTrump', 'frequency': 20}, {'name': '@mike', 'frequency': 1}, {'name': '@NBC', 'frequency': 1}, {'name': '@Trump', 'frequency': 5}, {'name': '@J', 'frequency': 1}, {'name': '@The', 'frequency': 2}, {'name': '@TrumpDoral', 'frequency': 2}, {'name': '@pennjillette', 'frequency': 1}, {'name': '@nbc', 'frequency': 1}, {'name': '@TrumpNewYork', 'frequency': 1}, {'name': '@bahia6085', 'frequency': 2}, {'name': '@Yankees', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",44
23,"[{'name': '@foxandfriends', 'frequency': 1}, {'name': '@GOP', 'frequency': 4}, {'name': '@realDonaldTrump', 'frequency': 38}, {'name': '@IvankaTrump', 'frequency': 2}, {'name': '@DonaldJTrumpJr', 'frequency': 1}, {'name': '@piersmorgan', 'frequency': 8}, {'name': '@Trump', 'frequency': 6}, {'name': '@greta', 'frequency': 1}, {'name': '@TrumpScotland', 'frequency': 1}, {'name': '@J', 'frequency': 3}, {'name': '@The', 'frequency': 1}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@David', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 1}, {'name': '@BarackObama', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@gretawire', 'frequency': 1}, {'name': '@TrumpChicago', 'frequency': 2}, {'name': '@TrumpWaikiki', 'frequency': 1}, {'name': '@AGSchneiderman', 'frequency': 1}]",76
24,"[{'name': '@foxandfriends', 'frequency': 1}, {'name': '@FoxNews', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 49}, {'name': '@CBSNews', 'frequency': 1}, {'name': '@nypost', 'frequency': 1}, {'name': '@piersmorgan', 'frequency': 1}, {'name': '@Mike', 'frequency': 2}, {'name': '@Trump', 'frequency': 5}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@TrumpScotland', 'frequency': 1}, {'name': '@MELANIATRUMP', 'frequency': 2}, {'name': '@J', 'frequency': 2}, {'name': '@The', 'frequency': 1}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@jacknicklaus', 'frequency': 2}, {'name': '@Macys', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpLasVegas', 'frequency': 3}, {'name': '@bahia6085', 'frequency': 1}, {'name': '@GolfMagazine', 'frequency': 1}, {'name': '@JUrciuoli19', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",80
25,"[{'name': '@realDonaldTrump', 'frequency': 29}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 5}, {'name': '@J', 'frequency': 3}, {'name': '@The', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 3}, {'name': '@AmSpec', 'frequency': 10}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpChicago', 'frequency': 1}, {'name': '@TrumpGolfLA', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",58
26,"[{'name': '@DRUDGE', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 33}, {'name': '@mike', 'frequency': 1}, {'name': '@NBC', 'frequency': 1}, {'name': '@SenTedCruz', 'frequency': 1}, {'name': '@Trump', 'frequency': 5}, {'name': '@J', 'frequency': 2}, {'name': '@rushlimbaugh', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpPanama', 'frequency': 1}, {'name': '@TrumpNewYork', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@trumpwinery', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",52
27,"[{'name': '@seanhannity', 'frequency': 1}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 27}, {'name': '@kilmeade', 'frequency': 1}, {'name': '@Trump', 'frequency': 1}, {'name': '@J', 'frequency': 3}, {'name': '@The', 'frequency': 1}, {'name': '@David', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 2}, {'name': '@nbc', 'frequency': 1}, {'name': '@AmSpec', 'frequency': 3}, {'name': '@AGSchneiderman', 'frequency': 3}]",46
28,"[{'name': '@BretBaier', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 22}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 2}, {'name': '@greta', 'frequency': 2}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@MELANIATRUMP', 'frequency': 1}, {'name': '@J', 'frequency': 4}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 2}, {'name': '@TrumpToronto', 'frequency': 1}, {'name': '@pennjillette', 'frequency': 1}, {'name': '@gretawire', 'frequency': 1}, {'name': '@not', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",42
29,"[{'name': '@MariaBartiromo', 'frequency': 1}, {'name': '@FoxBusiness', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 3}, {'name': '@chucktodd', 'frequency': 2}, {'name': '@Mike', 'frequency': 1}, {'name': '@morningmika', 'frequency': 1}, {'name': '@Trump', 'frequency': 8}, {'name': '@meetthepress', 'frequency': 2}, {'name': '@Macys', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 2}, {'name': '@TrumpTowerNY', 'frequency': 2}, {'name': '@TrumpLasVegas', 'frequency': 2}, {'name': '@TrumpPanama', 'frequency': 1}, {'name': '@TrumpWaikiki', 'frequency': 1}]",28
30,"[{'name': '@realDonaldTrump', 'frequency': 14}, {'name': '@mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 6}, {'name': '@TraceAdkins', 'frequency': 1}, {'name': '@Macys', 'frequency': 6}, {'name': '@TrumpTowerNY', 'frequency': 4}, {'name': '@TrumpLasVegas', 'frequency': 1}, {'name': '@ApprenticeNBC', 'frequency': 1}, {'name': '@TrumpChicago', 'frequency': 1}, {'name': '@not', 'frequency': 3}, {'name': '@nfl', 'frequency': 1}]",39
